index,raw_response
0,"NO — the study examines BPA and chlorinated bisphenols' competition with T3 for transthyretin/thyroid receptor in vitro and environmental detection, but does not report any obesity-related outcomes."
1,"NO — Although BPA was measured, this is an environmental monitoring study (water/sediment/sludge) and does not report any obesity-related outcomes or human/animal/in vitro biological effects."
2,"NO — Although the materials are Bis-GMA–based dental resins (Bis-GMA is a BPA-derived monomer), the study measures dye penetration around fissure sealants (seal integrity) and does not report any outcomes related to obesity."
3,NO — The paper studies in vitro BPA degradation and serum/ROS chemistry (biochemical Fenton reactions) and does not report any obesity-related outcomes.
4,NO — This is an in vitro dental adhesive/dentin morphology study measuring interfacial gap and hybrid layer thickness and does not mention bisphenol A (or specified analogues) nor any obesity-related outcomes.
5,NO — This is an in vitro study of methacrylate-based dental composite polymerization and mechanical properties and does not mention bisphenol A (or listed analogues) nor report any obesity-related outcomes.
6,NO — this is an in vitro dental study on effects of periodontal instrumentation on marginal gap and microleakage of composite crowns and does not investigate BPA (or listed bisphenol analogues) nor any obesity-related outcomes.
7,"NO — Although the cement contains a bisphenol-A–derived monomer (bis-GMA), this clinical series reports orthopedic fixation outcomes for hip screws in elderly fracture patients and does not assess BPA/analogue exposure in relation to obesity."
8,NO — The study assesses in vitro cytotoxicity of dental adhesive systems and does not mention bisphenol A (or specified analogues) nor any obesity-related outcomes.
9,NO — This is a materials-science study on decontamination/silanization of glass fillers for resin composites and does not investigate bisphenol A or its analogues nor report any obesity-related biological outcomes.
10,"NO — although this animal study examines BPA exposure and neurodevelopmental outcomes in Xenopus laevis, it does not report any obesity-related measures or outcomes."
11,"NO — although the study examines BPA exposure and is an in vitro biodegradation study, it reports glycosylation/metabolites in algae and does not assess any obesity-related outcomes."
12,"YES — The study examines cytotoxic components released from dental resin composites (which can contain bisphenol-derived monomers), but it does not explicitly name bisphenol A or the listed analogues, so relevance to BPA exposure is unclear."
13,"NO — This is a phytoremediation study showing Portulaca oleracea removes BPA and other phenolic EDCs from water, but it does not report any obesity-related outcomes nor involve human/animal/in vitro obesity endpoint measurements."
14,"NO — Analytical/environmental monitoring study measuring BPA in seawater with no human, animal, or in vitro exposure data or any obesity-related outcomes reported."
15,"NO — The study examines bisphenol A exposure in rats but reports neurobehavioral hyperactivity rather than any obesity-related outcomes, so it does not meet the inclusion criterion."
16,"YES — The record explicitly discusses bisphenol A (BPA) and cites animal, epidemiologic, and in vitro studies linking developmental BPA exposure to obesity later in life."
17,NO — This is an in vitro materials study of Bis-GMA/TEGDMA dental resins assessing mechanical properties (not biological exposure to BPA/its listed analogues) and it reports no obesity-related outcomes.
18,NO — Laboratory dental studies on enamel etching and drying for fissure sealants with no mention of bisphenol A (or its analogues) and no obesity-related outcomes.
19,NO — This in vitro dental materials study assesses resin cement bond strength to dentin and does not report exposure to BPA or its specified analogues nor any obesity-related outcomes.
20,NO — The study examines effects of dental monomers bis-GA and bis-GMA on fibroblast antigen expression and proliferation (not BPA or the specified BPA synonyms/analogues explicitly) and does not report any obesity-related outcomes.
21,"NO — This in vitro materials study reports mechanical properties and monomer composition (e.g., Bis-GMA, UDMA, BMPEPP) of dental composite resins and does not assess exposure to BPA (or the listed BPA synonyms/analogues) in relation to any obesity-related outcome."
22,NO — This in vitro study examines shear bond strength of orthodontic attachments on extracted teeth and does not involve bisphenol A or its analogues nor report any obesity-related outcomes.
23,"NO — Although the study includes in vivo BPA exposure in frogs, its outcomes are osmoregulatory (basal water absorption and hormonal effects) and do not report any obesity-related measures."
24,NO — Animal study of neonatal BPA exposure assessing spatial learning and memory (Morris water maze); no obesity-related outcomes are reported.
25,"NO — This animal study examines effects of BPA on embryo transport, implantation, development, and perinatal lethality in mice and does not report any obesity-related outcomes."
26,"NO — The paper reports environmental BPA levels and estrogenic activity (using a yeast bioassay) from wastewater but does not measure or report any obesity-related outcomes in humans, animals, or in vitro systems."
27,NO — This record describes orthodontic bonding techniques (indirect bonding) and does not involve bisphenol A or its specified analogues nor report any obesity-related outcomes.
28,NO — This is a materials-science study of phase separation in a DGEBA (BPA-based epoxy) polymer system with no biological exposure assessment or any obesity-related outcomes and not an animal/human/in vitro biomedical study.
29,"NO — Although the study involves neonatal exposure to bisphenol-A in rats, it reports only behavioral outcomes (habituation, locomotor activity, drug responses) and does not report any obesity-related measures (e.g., body weight, adiposity, metabolic outcomes)."
30,NO — This in vitro study investigates air-powder polishing effects on orthodontic bracket adhesive bond strength and does not involve bisphenol A (or listed analogues) nor report any obesity-related outcomes.
31,NO — This dental materials wear-resistance study does not involve bisphenol A or its listed analogues nor report any obesity-related outcomes.
32,NO — The study compares dental bonding resins (Bis-GMA and 4‑META MMA) for laser debonding and does not report exposure to BPA or the specified BPA analogues nor any outcome related to obesity.
33,"NO — Human biomonitoring study of children's BPA exposure and urinary excretion, but it does not report any obesity-related outcomes."
34,NO — This is a general review of dental composite and sealant resins and does not report research on BPA (or listed analogues) exposures or any obesity-related outcomes.
35,NO — Study examines toxicokinetics of BPA in salmon eggs (accumulation/depuration) and does not report any outcomes related to obesity.
36,NO — This clinical study examines dental composite cements and dentinal cold sensitivity and does not assess exposure to BPA or its listed analogues nor report any obesity-related outcomes.
37,"NO — This in vitro dental materials study investigates chlorhexidine release from methacrylate resins and does not involve bisphenol A or the listed bisphenol analogues, nor does it report any obesity-related outcomes."
38,NO — This is an in vitro materials/chemistry study of Bis-GMA/TEGDMA polymerization (dental monomers) and does not assess BPA or listed analogues in relation to any obesity-related outcomes.
39,"NO — Although it measures fetal BPA exposure and metabolism in human livers, the study reports gene expression and BPA concentrations only and does not include any obesity-related outcome measures."
40,NO — This is an analytical method development/validation for detecting BPA in bovine milk and does not report any human/animal/in vitro study outcomes related to obesity.
41,"NO — Although the in vitro study includes bisphenol A exposure, it measures estrogenic effects and T-47D cell growth (cancer cell proliferation), not any obesity-related outcome."
42,"NO — Animal study of neonatal BPA exposure examining effects on spermatogenesis and fertility (reproductive outcomes), with no measures or outcomes related to obesity."
43,NO — This study examines fluoride release from dental materials and enamel demineralization and does not involve bisphenol A (or listed analogues) nor any obesity-related outcomes.
44,NO — This study concerns dental bonding agents and composite repair bond strength and does not mention bisphenol A/analogues or any obesity-related outcomes.
45,NO — This in vitro dental restoration study assesses microleakage and polymerization shrinkage of composite resins and does not involve bisphenol A or its listed analogues nor report any obesity-related outcomes.
46,"YES — Only an author name (""Patricia Hunt"") is provided with no study details, so it is unclear whether the record reports research on BPA/analogues and obesity and cannot be ruled out."
47,NO — The record describes an in vitro dental post-and-core materials study with no mention of bisphenol A or its listed analogues and reports mechanical/durability outcomes unrelated to obesity.
48,NO — the paper reports allergic contact dermatitis to epoxy resin components (including diglycidyl ether of bisphenol A) and does not study bisphenol A/analogue exposure in relation to obesity outcomes.
49,NO — The study measured bisphenol A in source waters and assessed estrogenic activity (yeast assay) but does not report any obesity-related outcomes or relevant human/animal/in vitro obesity endpoints.
50,"NO — Although the polymer studied includes bisphenol A polycarbonate, this is a physical NMR study of polymer molecular motion (materials chemistry) and does not involve BPA exposure or report any obesity-related biological outcomes in human, animal, or in vitro contexts."
51,"NO — The study examines BPA effects on biodegradation, bioaccumulation and algal cellular responses in a marine diatom and does not report any obesity-related outcomes (e.g., body weight, adiposity, or adipogenesis) in human, animal, or adipocyte in vitro models."
52,NO — This ex vivo study tests tensile/peel bond strengths of orthodontic bracket materials and does not mention bisphenol A or its analogues nor report any obesity-related outcomes.
