index,raw_response
0,"YES — Animal (mouse) study of sodium fluoride exposure (alone and with arsenic) reporting brain neurotoxicity outcomes including biogenic amines, AChE/MAO activity, oxidative stress markers and DNA integrity."
1,"NO — Animal study of fluoride exposure in bovines, but the reported outcome is reproductive efficiency rather than any neurotoxicity-related measure."
2,"YES — Animal study in pregnant rats of diisopropyl fluorophosphate (DFP, a fluorophosphate analogue) reporting cholinesterase inhibition and recovery in maternal and fetal brain, a neurotoxicity outcome."
3,"NO — This is a biochemical characterization of liver acid phosphatases in fish noting in vitro inhibition by fluoride, not an animal study of fluoride exposure nor does it report any neurotoxicity outcomes."
4,"NO — This is an animal study of Bothrops jararaca venom-induced inflammation in mice, not an exposure to fluoride or its analogues, and it reports inflammatory outcomes rather than neurotoxicity."
5,"NO — This is a computational materials-science study of the structure and charges in poly(vinylidene fluoride) (beta-PVDF), not an animal study, and it does not investigate exposure or neurotoxicity outcomes."
6,"NO — This is an in vitro materials study of protein adhesion to intraocular lens surfaces (one being fluorine-surface-modified PMMA), not an animal study, and it reports no neurotoxicity outcomes or systemic fluoride exposure."
7,"YES — This is an animal-derived (calf brain) study that reports effects of NaF (sodium fluoride) on adenylate cyclase activity in brain membranes, a neurochemical outcome relevant to neuronal signaling (though not a direct behavioral or developmental neurotoxicity endpoint)."
8,"YES — Study uses aluminum fluoride (AIF-4) on rat sympathetic ganglion cells (animal tissue) and reports effects on neuronal M-channel (K+) gating, a neurophysiological outcome related to neuronal function."
9,"NO — This is a chemistry/catalysis paper on o‑fluorinated titanium catalysts and polymerization, not an animal study and it does not report any neurotoxicity outcomes or biological fluoride exposure."
10,YES — Rat brain (corpus striatum) tissue study reporting effects of sodium fluoride on adenylate cyclase activity/cAMP production (neurobiologically relevant outcome) in an animal model.
11,"YES — The study uses aluminium fluoride (AlF4-) exposure in ovine (sheep) pars tuberalis cells (an animal-derived model) and reports intracellular signaling outcomes (inositol phosphates, intracellular Ca2+, cAMP, melatonin receptor binding) relevant to neural/neuronal signaling."
12,"NO — This is a geochemical survey of volcanic rocks reporting fluorine concentrations in magmas, not an animal exposure study nor reporting any neurotoxicity outcomes."
13,NO — This is an in vitro study on a neuronal hybrid cell line examining prostacyclin/carbacyclin receptor desensitization (not fluoride or its analogues) and is not an animal neurotoxicity study.
14,"YES — Animal study in rats exposed to sodium fluoride that reports brain oxidative-stress and antioxidant measures (MDA, nitrate/nitrite, GSH, SOD), which are neurotoxicity-related outcomes."
15,"NO — This is a chemistry study of radical polymerization of (meth)acrylates with perfluorinated side chains, not an animal study and it does not report any neurotoxicity outcomes."
16,"NO — The paper reports biochemical effects of NaF on GTPase activity in rat brain membranes (an in vitro membrane assay), not an animal exposure study nor any neurotoxicity outcome measure."
17,"NO — This study investigates platelet phagocytosis, APP/Abeta and macrophage activation in human atherosclerotic plaques and in vitro macrophage cell lines, with no fluoride (or analogue) exposure, no neurotoxicity outcomes, and it is not an animal study."
