index,raw_response
0,"NO — this is a materials/adsorption study of titanate nanotubes demonstrating binding of PFOS/PFOA, not research on toxicity, immunotoxicity, or immune-related health effects in human, animal, or in vitro biological models."
1,NO — This paper reviews perfluorocarbon blood substitutes (a different class of fluorocarbons) and does not appear to study PFOA/PFOS (or listed analogues) or immune-related toxicity as defined in the inclusion criteria.
2,"NO — This is a general review of blood substitutes mentioning perfluorochemicals as oxygen carriers, but it does not report research on PFOA/PFOS (or listed analogues) nor on immunotoxicity or immune-related health effects."
3,NO — This study examines vascular reactivity in STZ-diabetic rats using a perfluorocarbon (FC‑43) in the perfusion solution but does not involve PFOA/PFOS (or listed analogues) exposure nor assess immunotoxicity or immune-related outcomes.
4,"NO — The record reviews pharmacologic treatments for ARDS and only mentions perfluorocarbons for liquid ventilation, with no reference to PFOA, PFOS, or the listed C8 analogues or their immunotoxicity."
5,"NO — The study describes moisture-resistant optical films and fluorinated polymers (TFE, FEP) on substrates but does not mention PFOA, PFOS, or any listed analogues or investigate immunotoxicity/immune-related effects."
6,"NO — This is a human biomonitoring study reporting blood concentrations of PFOS/PFOA and related PFCs but does not assess toxicity, immunotoxicity, or immune-related health effects."
7,"NO — This is a surgical case report on retained subretinal perfluorocarbon liquid (PFCL) in vitreoretinal surgery, not a study of PFOA/PFOS (or listed analogues) exposures nor of immunotoxicity or immune-related health effects."
8,NO — This is a comment/letter on an environmental paper about perfluorinated compounds and not an original human/animal/in vitro study of PFOA/PFOS (or analogues) assessing immunotoxicity or immune-related health effects.
9,"NO — This is a synthetic chemistry study on perfluoroalkyl phosphine ligands using perfluoroalkyl iodides, not research on PFOA/PFOS (or specified analogues) nor any immunotoxicity/toxicity or immune-related health effects."
10,"YES — In vitro study of perfluorinated acids (CF6–CF12, which includes C8/PFOA analogues) examining mitochondrial dysfunction and apoptosis, i.e. toxic effects of perfluorinated compounds."
11,NO — This study investigates eicosapentaenoic acid (EPA) effects on cell division in a deep-sea bacterium (Shewanella violacea) under high pressure and does not involve PFOA/PFOS (or listed analogues) nor assess immunotoxicity or immune-related health effects.
12,YES — In vitro study of PFOS (and an analogue) showing binding to human sCD14 and an immunomodulatory effect (inhibition of sCD14-induced TNF-α production) in mouse macrophage RAW264.7 cells.
13,"YES — Animal (rainbow trout) study exposing fish to perfluoroalkyl carboxylates and sulfonates (including C8/perfluorooctanoate and sulfonate analogues) that examines tissue distribution and bioconcentration, i.e., toxicokinetic/toxicity outcomes."
14,"NO — This study tests a perfluorocarbon emulsion as an oxygenating agent in tumor MRI/radiosensitivity experiments, not exposure to PFOA/PFOS (C8) or listed analogues, nor does it assess immunotoxicity or immune-related health effects."
15,NO — This clinical cardiology study concerns patent foramen ovale morphology and device closure and does not involve PFOA/PFOS (perfluorinated chemicals) or any immunotoxicity/immune-related outcomes.
16,"NO — This is an analytical methods paper describing MALDI-TOF-MS detection of PFOA/PFOS in environmental water samples and does not report any human, animal, or in vitro studies of toxicity, immunotoxicity, or immune-related health effects."
