,Randomly selected Original Order ID,title,Media,Link,Min Page,Appearances,Queries,label_abs,Duplicate story?,abstract,tiabs
0,2,Dual screening for liver fibrosis and retinopathy in type 2 diabetes - News-Medical.Net,News-Medical.Net,https://www.news-medical.net/news/20241217/Dual-screening-for-liver-fibrosis-and-retinopathy-in-type-2-diabetes.aspx,1,1,"Health screening,High-risk screening",1,,"Combining retina scanning with liver stiffness assessment offers a promising, efficient approach to identify advanced fibrosis and MASLD in type 2 diabetes patients. Study: Screening for advanced liver fibrosis due to metabolic dysfunction-associated steatotic liver disease alongside retina scanning in people with type 2 diabetes: a cross-sectional study. Image Credit: Photoroyalty / Shutterstock.com A recent Lancer Gastroenterology and Hepatology study hypothesizes that retina scanning and examination with vibration-controlled transient elastography (VCTE) could be implemented simultaneously with a high acceptance rate in type 2 diabetes (T2D) patients. Diagnosing progressive liver fibrosis Hepatic steatosis in the presence of a metabolic risk factor like T2D is referred to as metabolic dysfunction-associated steatotic liver disease (MASLD). Current estimates indicate that about 38% of the global population is affected by MASLD, which increases the risk of hepatocellular carcinoma and end-stage liver disease. T2D patients are particularly vulnerable to MASLD, with a prevalence rate of 65%. The diagnostic accuracy of the commonly recommended non-invasive test fibrosis-4 (FIB-4) score for MASLD may be lower in T2D patients. Therefore, other methods are currently being used, some of which include VCTE, magnetic resonance elastography with two metabolic risk factors, and enhanced liver fibrosis (ELF) score. In Sweden, T2D patients are referred from primary care centers to retina scanning facilities, where screening is performed through fundus photography at regular intervals. This approach has the potential to determine whether VCTE can also be implemented simultaneously with retina scanning to identify advanced fibrosis and MASLD. About the study In the current study, data were collected between November 6, 2020, and June 20, 2023, at Capio Eye Globen, which is one of the largest retina scanning facilities in Stockholm, Sweden. In addition to the retina scan, ","Dual screening for liver fibrosis and retinopathy in type 2 diabetes - News-Medical.Net Combining retina scanning with liver stiffness assessment offers a promising, efficient approach to identify advanced fibrosis and MASLD in type 2 diabetes patients. Study: Screening for advanced liver fibrosis due to metabolic dysfunction-associated steatotic liver disease alongside retina scanning in people with type 2 diabetes: a cross-sectional study. Image Credit: Photoroyalty / Shutterstock.com A recent Lancer Gastroenterology and Hepatology study hypothesizes that retina scanning and examination with vibration-controlled transient elastography (VCTE) could be implemented simultaneously with a high acceptance rate in type 2 diabetes (T2D) patients. Diagnosing progressive liver fibrosis Hepatic steatosis in the presence of a metabolic risk factor like T2D is referred to as metabolic dysfunction-associated steatotic liver disease (MASLD). Current estimates indicate that about 38% of the global population is affected by MASLD, which increases the risk of hepatocellular carcinoma and end-stage liver disease. T2D patients are particularly vulnerable to MASLD, with a prevalence rate of 65%. The diagnostic accuracy of the commonly recommended non-invasive test fibrosis-4 (FIB-4) score for MASLD may be lower in T2D patients. Therefore, other methods are currently being used, some of which include VCTE, magnetic resonance elastography with two metabolic risk factors, and enhanced liver fibros"
1,3,Early Diabetes Screening in Pregnancy: Challenges and Opportunities - AJMC.com Managed Markets Network,AJMC.com Managed Markets Network,https://www.ajmc.com/view/early-diabetes-screening-in-pregnancy-challenges-and-opportunities,1,2,"Health screening,Cancer screening",1,,"Early screening for diabetes in pregnancy is gaining attention as a strategy to improve maternal and child health outcomes. In this interview with The American Journal of Managed CareÂ® (AJMCÂ®), Ellen Francis, PhD, assistant professor of biostatistics and epidemiology at Rutgers School of Public Health, explores the potential of earlier screening, the evidence supporting its benefits, and what health systems need to consider when implementing. This transcript has been lightly edited for clarity and length. AJMC: Which key factors should be prioritized when considering earlier screening for diabetes in pregnancy, and how do these markers contribute to better long-term health outcomes for the mother and possibly the child? Ellen Francis, PhD | Image credit: Rutgers School of Public Health Francis: There's been massive interest in how to treat, screen, and diagnose diabetes in pregnancy for decades. And I think one of the more important things to start off distinguishing is diabetes that was existing prior to pregnancy and then gestational diabetes (GDM), because they're 2 different scenarios. For diabetes in pregnancy, there's a lot of consensus on using HbA 1C [hemoglobin A 1C ] as a good screener in early pregnancy if women or females are presenting with risk factors, or even fasting glucose. That has been shown historically to be pretty accurate for catching the women who have diabetes but were not diagnosed prior to becoming pregnant, so they just were unaware, essentially. However, HbA 1C has really poor sensitivity for impaired fasting glucose or impaired glucose tolerance. So, it's a really efficient screener, and does really well for this higher band of diabetes, so to speak. But it's more complex when you talk about gestational diabetes, which is a lower level of hyperglycemia. Another point of context: If you don't present in the US with risk factors for diabetes, we screen for gestational diabetes for everyone at 24 to 28 weeks, so that leaves you ab","Early Diabetes Screening in Pregnancy: Challenges and Opportunities - AJMC.com Managed Markets Network Early screening for diabetes in pregnancy is gaining attention as a strategy to improve maternal and child health outcomes. In this interview with The American Journal of Managed CareÂ® (AJMCÂ®), Ellen Francis, PhD, assistant professor of biostatistics and epidemiology at Rutgers School of Public Health, explores the potential of earlier screening, the evidence supporting its benefits, and what health systems need to consider when implementing. This transcript has been lightly edited for clarity and length. AJMC: Which key factors should be prioritized when considering earlier screening for diabetes in pregnancy, and how do these markers contribute to better long-term health outcomes for the mother and possibly the child? Ellen Francis, PhD | Image credit: Rutgers School of Public Health Francis: There's been massive interest in how to treat, screen, and diagnose diabetes in pregnancy for decades. And I think one of the more important things to start off distinguishing is diabetes that was existing prior to pregnancy and then gestational diabetes (GDM), because they're 2 different scenarios. For diabetes in pregnancy, there's a lot of consensus on using HbA 1C [hemoglobin A 1C ] as a good screener in early pregnancy if women or females are presenting with risk factors, or even fasting glucose. That has been shown historically to be pretty accurate for catching the women who "
2,6,Task Force Supports Women Over 30 Collecting Samples for Cervical Cancer Screening - HealthDay,HealthDay,https://www.healthday.com/health-news/women-health/task-force-supports-women-over-30-collecting-samples-for-cervical-cancer-screening,1,2,Health screening,1,Cervical cancer self sampling,"TUESDAY, Dec. 10, 2024 (HealthDay News) -- In guidelines that may encourage more women to get screened for cervical cancer, a leading health task force has backed giving women over 30 the option to collect their own vaginal samples for testing. Instead of needing to have a complete pelvic exam, these women can now go to a doctorâ€™s office and collect their own tissue to be tested for human papillomavirus (HPV), the infection that causes almost all cases of cervical cancer, say new guidelines issued on Tuesday by the U.S. Preventive Services Task Force. Women can now use a swab to collect their own HPV samples, the task force said, because studies have shown self-collection is as accurate as when the tissue sample is collected by a clinician and it is proven to increase screening. â€œWomen who would be more comfortable collecting their HPV test sample themselves can now do so,â€ task force member Dr. Esa Davis said in a news release announcing the new guidance. â€œWe hope that this new, effective option helps even more women get screened regularly.â€ Experts noted that any efforts to get more women screened would be welcomed. â€œWhat we worry about, as doctors who take care of women with cervical cancer, is that if screening becomes less routine, people kind of forget to do it,â€ Dr. Karen Lu, physician-in-chief of Moffitt Cancer Center in Tampa, Fla., told the New York Times. The latest guidance follows the U.S. Food and Drug Administration's approval of a self-testing kit for cervical cancer last May. That test should be repeated every five years from age 30 until 65, when most women can stop screening, the task force added. For those 30 and older, other screening options include Pap tests every three years, or a combined Pap smear and HPV test every five years, the task force noted. Still, an HPV test every five years is the ideal screening regimen. The guideline change was issued amid growing concern over a drop in cancer screenings and confusion over","Task Force Supports Women Over 30 Collecting Samples for Cervical Cancer Screening - HealthDay TUESDAY, Dec. 10, 2024 (HealthDay News) -- In guidelines that may encourage more women to get screened for cervical cancer, a leading health task force has backed giving women over 30 the option to collect their own vaginal samples for testing. Instead of needing to have a complete pelvic exam, these women can now go to a doctorâ€™s office and collect their own tissue to be tested for human papillomavirus (HPV), the infection that causes almost all cases of cervical cancer, say new guidelines issued on Tuesday by the U.S. Preventive Services Task Force. Women can now use a swab to collect their own HPV samples, the task force said, because studies have shown self-collection is as accurate as when the tissue sample is collected by a clinician and it is proven to increase screening. â€œWomen who would be more comfortable collecting their HPV test sample themselves can now do so,â€ task force member Dr. Esa Davis said in a news release announcing the new guidance. â€œWe hope that this new, effective option helps even more women get screened regularly.â€ Experts noted that any efforts to get more women screened would be welcomed. â€œWhat we worry about, as doctors who take care of women with cervical cancer, is that if screening becomes less routine, people kind of forget to do it,â€ Dr. Karen Lu, physician-in-chief of Moffitt Cancer Center in Tampa, Fla., told the New York Times. Th"
3,9,"OPINION: Mental health screening tools, surveys and immediate referrals can help struggling college students recover and return to class - The Hechinger Report",The Hechinger Report,https://hechingerreport.org/opinion-mental-health-screening-tools-surveys-and-immediate-referrals-can-help-struggling-college-students-recover-and-return-to-class/,1,1,Health screening,0,,"I work daily with students as an academic adviser. I have referred many of them to my collegeâ€™s counseling and psychological services office and have helped multiple students withdraw from all their classes due to immediate mental health crises. Many students struggle with mental health so much that they feel they cannot stay in school. The mental health epidemic is real, and that is why we must hold our institutions of higher learning accountable for addressing it. Higher education is plagued with massive numbers of students entering college with mental health issues: Over 60 percent suffer from at least one mental health condition, a 50 percent increase from 11 years ago, a recent survey found. One-third of students report being overwhelmed and conclude that they cannot navigate college life. It is vital that colleges find ways to identify and help students with mental health issues. Our country is also seeing a dramatic increase in college student suicides, the second-leading cause of death for college students: 10.3 percent of students report serious thoughts of suicide, and 1,100 students complete suicide each year. The state of Ohio, where I work as an academic adviser, has taken some small steps, but they are not enough. Helping these young adults with mental health issues recover and eventually join the workforce and form the foundation of our economy is important to everyone. Although too many studentsâ€™ mental health issues take them out of college, many do take time off and successfully return to finish their degrees. One of my students who took the spring semester off to obtain mental health treatment will graduate this December with a bachelorâ€™s degree. Related: Interested in innovations in the field of higher education? Subscribe to our free biweekly Higher Education newsletter. Ohio state law requires that state-sponsored colleges provide new students with mental health information, and NCAA student-athletes are required to complete an ann","OPINION: Mental health screening tools, surveys and immediate referrals can help struggling college students recover and return to class - The Hechinger Report I work daily with students as an academic adviser. I have referred many of them to my collegeâ€™s counseling and psychological services office and have helped multiple students withdraw from all their classes due to immediate mental health crises. Many students struggle with mental health so much that they feel they cannot stay in school. The mental health epidemic is real, and that is why we must hold our institutions of higher learning accountable for addressing it. Higher education is plagued with massive numbers of students entering college with mental health issues: Over 60 percent suffer from at least one mental health condition, a 50 percent increase from 11 years ago, a recent survey found. One-third of students report being overwhelmed and conclude that they cannot navigate college life. It is vital that colleges find ways to identify and help students with mental health issues. Our country is also seeing a dramatic increase in college student suicides, the second-leading cause of death for college students: 10.3 percent of students report serious thoughts of suicide, and 1,100 students complete suicide each year. The state of Ohio, where I work as an academic adviser, has taken some small steps, but they are not enough. Helping these young adults with mental health issues recover and eventually join the workf"
4,10,Sugar Land could receive $1M grant aimed at firefighter health - Community Impact,Community Impact,https://communityimpact.com/houston/sugar-land-missouri-city/government/2024/12/17/sugar-land-could-receive-1m-grant-aimed-at-firefighter-health/,2,1,Health screening,0,,Sugar Land could receive $1M grant aimed at firefighter health The Sugar Land Fire Department could receive $1 million in funding for equipment and medical screening improvements. (Courtesy city of Sugar Land) The Sugar Land Fire Department could receive $1 million in funding for equipment and medical screening improvements. (Courtesy city of Sugar Land),Sugar Land could receive $1M grant aimed at firefighter health - Community Impact Sugar Land could receive $1M grant aimed at firefighter health The Sugar Land Fire Department could receive $1 million in funding for equipment and medical screening improvements. (Courtesy city of Sugar Land) The Sugar Land Fire Department could receive $1 million in funding for equipment and medical screening improvements. (Courtesy city of Sugar Land)
5,17,"Rates of lead screening for children low in Kitsap, health district reports - Kitsap Sun",Kitsap Sun,https://www.kitsapsun.com/story/news/2024/12/13/parents-of-infants-encouraged-to-screen-for-lead-exposure/76869052007/,2,1,Health screening,0,,"Rates of lead screening for children low in Kitsap, health district reports Show Caption Hide Caption High levels of lead discovered in 12 cinnamon, spice products High levels of lead have been found in 12 cinnamon and spice powder brands, according to nonprofit Consumer Reports. unbranded - Newsworthy Kitsap Public Health District officials are encouraging medical providers to screen for lead more frequently, especially among infants, amid concerns about novel sources of exposure to the toxic metal and low screening rates. Worries extend beyond exposure to lead-based paints common in older buildings. These paints have long been a focal-point of historic prevention efforts, said Lynn Pittsinger, director of community health at KPHD, but health officials have sought to highlight other, less common sources of poisoning. Lead exposure has declined dramatically in the United States over the last 50 years â€“ after the sale of lead-based paints was outlawed in 1978 â€“ but the risk of exposure still lingers. At high levels, lead can severely damage the brain and central nervous system and there is evidence fewer people are being screened. Paint remains the chief source of exposure, but lead is also found naturally in the environment and has been discovered in common household products like food, toys, cosmetics and jewelry. The Food and Drug Administration asked the public to dispose of several varieties of ground cinnamon earlier this year due to high levels of lead. Pittsinger said health officials have sought to draw attention to less common sources of lead because any level of exposure could be harmful. Testing remains the only sure-fire way to identify a poisoning as most people have no immediate symptoms of excess lead. â€œThereâ€™s no safe level of lead in the body and the developing brain is really sensitive to lead exposure,â€ Dr. MaryKate Cardon, co-director of the Northwest Pediatric Environmental Health Speciality Unit at the University of Washington ","Rates of lead screening for children low in Kitsap, health district reports - Kitsap Sun Rates of lead screening for children low in Kitsap, health district reports Show Caption Hide Caption High levels of lead discovered in 12 cinnamon, spice products High levels of lead have been found in 12 cinnamon and spice powder brands, according to nonprofit Consumer Reports. unbranded - Newsworthy Kitsap Public Health District officials are encouraging medical providers to screen for lead more frequently, especially among infants, amid concerns about novel sources of exposure to the toxic metal and low screening rates. Worries extend beyond exposure to lead-based paints common in older buildings. These paints have long been a focal-point of historic prevention efforts, said Lynn Pittsinger, director of community health at KPHD, but health officials have sought to highlight other, less common sources of poisoning. Lead exposure has declined dramatically in the United States over the last 50 years â€“ after the sale of lead-based paints was outlawed in 1978 â€“ but the risk of exposure still lingers. At high levels, lead can severely damage the brain and central nervous system and there is evidence fewer people are being screened. Paint remains the chief source of exposure, but lead is also found naturally in the environment and has been discovered in common household products like food, toys, cosmetics and jewelry. The Food and Drug Administration asked the public to dispose of severa"
6,18,Study Supports HPV Self-Testing for Cervical Cancer Screening - Appalachian News-Express,Appalachian News-Express,https://www.news-expressky.com/lifestyles/health/study-supports-hpv-self-testing-for-cervical-cancer-screening/article_78e15dd5-e9d4-5661-b745-a0a4f7a62cf9.html,2,1,Health screening,0,,Not your computer? Use Guest mode to sign in privately. Learn more about using Guest mode,Study Supports HPV Self-Testing for Cervical Cancer Screening - Appalachian News-Express Not your computer? Use Guest mode to sign in privately. Learn more about using Guest mode
7,19,Orlando Health Eases Public Health Lab Test Ordering - Healthcare Innovation,Healthcare Innovation,https://www.hcinnovationgroup.com/policy-value-based-care/public-health/news/55249688/orlando-health-eases-public-health-lab-test-ordering,2,1,Health screening,0,,"Orlando Health and the Florida Department of Health are the first in the nation to use Detor, an Association of Public Health Laboratories-developed solution that enables electronic test orders and results to be shared seamlessly between public health laboratories and healthcare providers.  Funded by the U.S. Centers for Disease Control and Prevention, Detor links a hospitalâ€™s EHR system with a public health laboratoryâ€™s information management system. It allows test orders and results to be shared much more quickly, accurately and securely.  Orlando Health and the Florida Department of Health Bureau of Public Health Laboratories will initially use Detor for newborn screening results at hospitals within the Orlando Health healthcare system. Nearly every baby born in the U.S. is tested for serious and potentially terminal inherited disorders, and almost all newborn screening is conducted by public health laboratories. While newborn screening is a great starting point, Detor is not limited to any one test. While Orlando Health and the Florida Department of Health are the first organizations in the U.S. to use Detor, other jurisdictions are expected to launch the solution in 2025. Detor will also expand beyond newborn screenings to work with public health laboratories and their healthcare partners on the implementation of other high-volume testing such as tuberculosis, HIV, hepatitis, influenza, COVID, Lyme disease and rabies.  Detor is currently being used to share newborn screening results for patients at Orlando Health Winnie Palmer Hospital for Women and Babies, Orlando Health South Lake Hospital and Orlando Health Bayfront Hospital.  â€œNewborn screenings detect rare health conditions, which is vital information that needs to be communicated quickly and accurately with a babyâ€™s healthcare team so treatment can begin soon,â€ said Eric Rose, senior director of enterprise quality & performance solutions for Orlando Healthâ€™s Information Technology/Cli","Orlando Health Eases Public Health Lab Test Ordering - Healthcare Innovation Orlando Health and the Florida Department of Health are the first in the nation to use Detor, an Association of Public Health Laboratories-developed solution that enables electronic test orders and results to be shared seamlessly between public health laboratories and healthcare providers.  Funded by the U.S. Centers for Disease Control and Prevention, Detor links a hospitalâ€™s EHR system with a public health laboratoryâ€™s information management system. It allows test orders and results to be shared much more quickly, accurately and securely.  Orlando Health and the Florida Department of Health Bureau of Public Health Laboratories will initially use Detor for newborn screening results at hospitals within the Orlando Health healthcare system. Nearly every baby born in the U.S. is tested for serious and potentially terminal inherited disorders, and almost all newborn screening is conducted by public health laboratories. While newborn screening is a great starting point, Detor is not limited to any one test. While Orlando Health and the Florida Department of Health are the first organizations in the U.S. to use Detor, other jurisdictions are expected to launch the solution in 2025. Detor will also expand beyond newborn screenings to work with public health laboratories and their healthcare partners on the implementation of other high-volume testing such as tuberculosis, HIV, hepatitis, influenza, COVI"
8,21,Researchers in various studies looking for participants - Purdue University,Purdue University,https://www.purdue.edu/newsroom/purduetoday/2024/Q4/researchers-in-various-studies-looking-for-participants,3,1,Health screening,0,,"Here is a list of research studies that currently are looking for participants. Understanding associations between rural food environments and microbial cysteine metabolism as risk factors for early onset colorectal cancer Researchers in the Department of Nutrition Science are doing a research study to learn more about bacteria and items people put in their mouths, like food and tobacco products, and how where people live impacts the food they have access to. This study may be a good fit for if you: Live in a county with less than 50,000 residents OR live over 10 miles from your nearest grocery store Are 18-80 years old Are not pregnant Are willing to complete two 24-hour dietary recalls Are willing to provide informed consent Are willing to provide five water samples and a stool sample Individuals will have the option to participate in this study in-person or virtually. Individuals who take part in the research study will: Do a phone screening to learn more about the study Have their height and weight measured Complete several surveys about health, diet and experiences Provide a stool sample Collect five water samples from their home In-person participants will come to Purdue twice: one research visit and one stool sample drop-off. Participants will receive a $25 Visa gift card as compensation for their time and reimbursement for travel. Participants will also have the option to receive information about lead content in their water. To learn more about this research, contact Patricia Wolf at 765-496-0143 or wolflab@purdue.edu. The principal researcher for this study is Patricia Wolf, assistant professor in the Department of Nutrition Science. IRB-2024-366. Altering cognition and emotion through exercise Young adults ages 18-25 are needed to participate in research studies on how exercise may influence cognitive function and emotion. Participants will be compensated up to $50 total for completing the study. Participation requires two visits on s","Researchers in various studies looking for participants - Purdue University Here is a list of research studies that currently are looking for participants. Understanding associations between rural food environments and microbial cysteine metabolism as risk factors for early onset colorectal cancer Researchers in the Department of Nutrition Science are doing a research study to learn more about bacteria and items people put in their mouths, like food and tobacco products, and how where people live impacts the food they have access to. This study may be a good fit for if you: Live in a county with less than 50,000 residents OR live over 10 miles from your nearest grocery store Are 18-80 years old Are not pregnant Are willing to complete two 24-hour dietary recalls Are willing to provide informed consent Are willing to provide five water samples and a stool sample Individuals will have the option to participate in this study in-person or virtually. Individuals who take part in the research study will: Do a phone screening to learn more about the study Have their height and weight measured Complete several surveys about health, diet and experiences Provide a stool sample Collect five water samples from their home In-person participants will come to Purdue twice: one research visit and one stool sample drop-off. Participants will receive a $25 Visa gift card as compensation for their time and reimbursement for travel. Participants will also have the option to receive information a"
9,26,3 Best No Medical Exam Life Insurance Policies for 2025 - NerdWallet,NerdWallet,https://www.nerdwallet.com/article/insurance/life-insurance-no-medical-exam,3,1,Health screening,0,,"We believe everyone should be able to make financial decisions with confidence. And while our site doesnâ€™t feature every company or financial product available on the market, weâ€™re proud that the guidance we offer, the information we provide and the tools we create are objective, independent, straightforward â€” and free. So how do we make money? Our partners compensate us. This may influence which products we review and write about (and where those products appear on the site), but it in no way affects our recommendations or advice, which are grounded in thousands of hours of research. Our partners cannot pay us to guarantee favorable reviews of their products or services. Here is a list of our partners.","3 Best No Medical Exam Life Insurance Policies for 2025 - NerdWallet We believe everyone should be able to make financial decisions with confidence. And while our site doesnâ€™t feature every company or financial product available on the market, weâ€™re proud that the guidance we offer, the information we provide and the tools we create are objective, independent, straightforward â€” and free. So how do we make money? Our partners compensate us. This may influence which products we review and write about (and where those products appear on the site), but it in no way affects our recommendations or advice, which are grounded in thousands of hours of research. Our partners cannot pay us to guarantee favorable reviews of their products or services. Here is a list of our partners."
