id,citation,title,abstract,label
1,"1.Q. Shen, R. Tian, H. Li, T. Xu and Y. Xia. 2005. [White matter injury of spinal cord in rats with chronic fluorosis and recovery after defluoriation]. #journal# #volume#(#issue#): #Pages#. #Accession Number#. OBJECTIVE: To explore the injury mechanism for white matter of spinal cord and the improvement of function after defluoriation. METHODS: A total of 120 Wistar rats were separated randomly into 4 groups (n = 30 each). High flouriod group received high concentration NaF water (200 mg/L) to establish fluorosis model; control group distilled water; deflourination group high concentration NaF water (200 mg/L) for 12 weeks and then distilled water for 12 weeks; defluorination control group. The urinary contents of fluoride were detected at Weeks 4, 8 and 12. The first two groups were sacrificed at Week 12 while the other two groups at Week 24. The spinal cord functions were detected by BBB scale and incline plate test. Their cervical spinal cord tissues were collected and observed under electron microscope. The expression of myelin basic protein (MBP) in thoracic cord was detected by immunohistochemistry and Western blot. The comparison of measurement data was performed with F test and correlation analysis. Cytological changes of white matter in spinal cord were detected after chronic fluorosis. RESULTS: The spinal functions of high flouriod and deflourination groups were inferior to those of the control groups. But no difference existed among the groups. Pathological manifestations of chronic white matter injury of spinal cord could be found in high flouriod and deflourination groups. The MBP expression in spinal cord of fluorosis and deflurination groups decreased in comparison with those in control groups. But no difference existed among them. CONCLUSION: White matter injury of spinal cord is present in chronic fluorosis rats. Defluoriation for a short time offers no recovery.",[White matter injury of spinal cord in rats with chronic fluorosis and recovery after defluoriation],"OBJECTIVE: To explore the injury mechanism for white matter of spinal cord and the improvement of function after defluoriation. METHODS: A total of 120 Wistar rats were separated randomly into 4 groups (n = 30 each). High flouriod group received high concentration NaF water (200 mg/L) to establish fluorosis model; control group distilled water; deflourination group high concentration NaF water (200 mg/L) for 12 weeks and then distilled water for 12 weeks; defluorination control group. The urinary contents of fluoride were detected at Weeks 4, 8 and 12. The first two groups were sacrificed at Week 12 while the other two groups at Week 24. The spinal cord functions were detected by BBB scale and incline plate test. Their cervical spinal cord tissues were collected and observed under electron microscope. The expression of myelin basic protein (MBP) in thoracic cord was detected by immunohistochemistry and Western blot. The comparison of measurement data was performed with F test and correlation analysis. Cytological changes of white matter in spinal cord were detected after chronic fluorosis. RESULTS: The spinal functions of high flouriod and deflourination groups were inferior to those of the control groups. But no difference existed among the groups. Pathological manifestations of chronic white matter injury of spinal cord could be found in high flouriod and deflourination groups. The MBP expression in spinal cord of fluorosis and deflurination groups decreased in comparison with those in control groups. But no difference existed among them. CONCLUSION: White matter injury of spinal cord is present in chronic fluorosis rats. Defluoriation for a short time offers no recovery.",0
2,"2.F. Pin, J. Vercouillie, A. Ouach, S. Mavel, Z. Gulhan, G. Chicheri, C. Jarry, S. Massip, J. B. Deloye, D. Guilloteau, F. Suzenet, S. Chalon and S. Routier. 2010. Design of alpha7 nicotinic acetylcholine receptor ligands in quinuclidine, tropane and quinazoline series. Chemistry, molecular modeling, radiochemistry, in vitro and in rats evaluations of a [(18)F] quinuclidine derivative. #journal# #volume#(#issue#): #Pages#. #Accession Number#. In this report, we describe the synthesis of a novel library of alpha7 nAChR ligands based on the modulation of the quinuclidine, quinazoline and tropane moieties. Spirane derivatives were newly synthesized under stereo specific 1,3 dipolar cylcoadditions. Only amide derivatives bonded efficiently to the receptor with Ki measured between 14 and 133 nM. The best fluorinated candidate was selected and radiolabeled. The potent [(18)F]4 PET tracer was evaluated in rats and its brain accumulation quantified.","Design of alpha7 nicotinic acetylcholine receptor ligands in quinuclidine, tropane and quinazoline series. Chemistry, molecular modeling, radiochemistry, in vitro and in rats evaluations of a [(18)F] quinuclidine derivative","In this report, we describe the synthesis of a novel library of alpha7 nAChR ligands based on the modulation of the quinuclidine, quinazoline and tropane moieties. Spirane derivatives were newly synthesized under stereo specific 1,3 dipolar cylcoadditions. Only amide derivatives bonded efficiently to the receptor with Ki measured between 14 and 133 nM. The best fluorinated candidate was selected and radiolabeled. The potent [(18)F]4 PET tracer was evaluated in rats and its brain accumulation quantified.",0
3,"3.N. Atmaca, H. T. Atmaca, A. Kanici and T. Anteplioglu. 2014. Protective effect of resveratrol on sodium fluoride-induced oxidative stress, hepatotoxicity and neurotoxicity in rats. Food Chem Toxicol 70(#issue#): 191-7. http://www.ncbi.nlm.nih.gov/pubmed/24857819. Protective effect of resveratrol on sodium fluoride-induced oxidative stress, hepatotoxicity and neurotoxicity were studied in rats. A total of 28 Wistar albino male rats were used. Four study groups were randomly formed with seven animals in each. The groups were treated for 21days with distilled water (control group), with water containing 100ppm fluoride (fluoride group), with resveratrol (12.5mg/kg i.p., resveratrol group), or with 100ppm fluoride+12.5mg/kg resveratrol i.p. (fluoride+resveratrol group). At the end of the trial, blood samples were collected by cardiac puncture and tissue samples were taken simultaneously. The total antioxidant and oxidant status in plasma and tissues as well as plasma 8-hydroxydeoxyguanosine levels were measured. Histopathological analyses of rat liver and brain tissues were performed in all groups to identify any changes. In the fluoride group, the total oxidant levels increased in plasma, liver and brain and total antioxidant levels decreased, as did the plasma 8-hydroxy-deoxyguanosine levels. These changes were prevented by co-administration of resveratrol. In addition, fluoride-associated severe histopathological changes in brain and liver tissues were not observed in the fluoride+resveratrol group. Consequently, these data suggested that resveratrol had beneficial effects in alleviating fluoride-induced oxidative stress.","Protective effect of resveratrol on sodium fluoride-induced oxidative stress, hepatotoxicity and neurotoxicity in rats","Protective effect of resveratrol on sodium fluoride-induced oxidative stress, hepatotoxicity and neurotoxicity were studied in rats. A total of 28 Wistar albino male rats were used. Four study groups were randomly formed with seven animals in each. The groups were treated for 21days with distilled water (control group), with water containing 100ppm fluoride (fluoride group), with resveratrol (12.5mg/kg i.p., resveratrol group), or with 100ppm fluoride+12.5mg/kg resveratrol i.p. (fluoride+resveratrol group). At the end of the trial, blood samples were collected by cardiac puncture and tissue samples were taken simultaneously. The total antioxidant and oxidant status in plasma and tissues as well as plasma 8-hydroxydeoxyguanosine levels were measured. Histopathological analyses of rat liver and brain tissues were performed in all groups to identify any changes. In the fluoride group, the total oxidant levels increased in plasma, liver and brain and total antioxidant levels decreased, as did the plasma 8-hydroxy-deoxyguanosine levels. These changes were prevented by co-administration of resveratrol. In addition, fluoride-associated severe histopathological changes in brain and liver tissues were not observed in the fluoride+resveratrol group. Consequently, these data suggested that resveratrol had beneficial effects in alleviating fluoride-induced oxidative stress.",0
4,"4.D. Gullick, A. Popovici, H. C. Young, J. V. Bruckner, B. S. Cummings, P. Li and M. G. Bartlett. 2014. Determination of deltamethrin in rat plasma and brain using gas chromatography-negative chemical ionization mass spectrometry. J Chromatogr B Analyt Technol Biomed Life Sci 960(#issue#): 158-65. http://www.ncbi.nlm.nih.gov/pubmed/24814001. Quantification of the pyrethroid deltamethrin (DLM) in small (100 muL) biological samples from rodents is essential for toxicokinetic studies of trace levels of the insecticide in foods. Such empirical kinetic data are necessary for construction of valid physiologically-based toxicokinetic models. There are no validated methods in the literature for determining deltamethrin in 100 muL plasma and brain samples. Plasma and brain samples were stabilized using sodium fluoride as an esterase inhibitor, and the DLM was extracted by protein precipitation using acetonitrile and phosphoric acid. The samples were vortexed, centrifuged, evaporated to dryness, and reconstituted in toluene prior to injection into a gas chromatograph equipped with a quadrupole mass analyzer. Samples were ionized via electron capture in the negative ion mode using methane, and the molecular ion and fragment ions of DLM were monitored using Selected-Ion Monitoring (SIM) for quantitation and verification of the analyte. Cis-permethrin was used as the internal standard for the method, which was validated according to current US FDA guidelines. Linearity was determined between 0.3 and 1,000 ng/mL, with a limit of detection of 150 pg/mL. The intra- and inter-batch variation for precision (as % relative standard deviation, RSD) and accuracy (as % bias) of the method were better than 20% at the limit of quantitation and better than 15% across the remaining linear range (n=18), with recoveries of 113% and 68% for plasma and brain respectively. Benchtop stability, autosampler stability, and freeze/thaw stability studies of the method (over a 3-day freeze/thaw cycle) were found to be within the acceptance criteria of 20% RSD and bias. This optimized method was applied to the quantitation of DLM in plasma and brain homogenate samples obtained up to 12h after oral dosing of Sprague-Dawley rats with 1mg DLM/kg body weight.",Determination of deltamethrin in rat plasma and brain using gas chromatography-negative chemical ionization mass spectrometry,"Quantification of the pyrethroid deltamethrin (DLM) in small (100 muL) biological samples from rodents is essential for toxicokinetic studies of trace levels of the insecticide in foods. Such empirical kinetic data are necessary for construction of valid physiologically-based toxicokinetic models. There are no validated methods in the literature for determining deltamethrin in 100 muL plasma and brain samples. Plasma and brain samples were stabilized using sodium fluoride as an esterase inhibitor, and the DLM was extracted by protein precipitation using acetonitrile and phosphoric acid. The samples were vortexed, centrifuged, evaporated to dryness, and reconstituted in toluene prior to injection into a gas chromatograph equipped with a quadrupole mass analyzer. Samples were ionized via electron capture in the negative ion mode using methane, and the molecular ion and fragment ions of DLM were monitored using Selected-Ion Monitoring (SIM) for quantitation and verification of the analyte. Cis-permethrin was used as the internal standard for the method, which was validated according to current US FDA guidelines. Linearity was determined between 0.3 and 1,000 ng/mL, with a limit of detection of 150 pg/mL. The intra- and inter-batch variation for precision (as % relative standard deviation, RSD) and accuracy (as % bias) of the method were better than 20% at the limit of quantitation and better than 15% across the remaining linear range (n=18), with recoveries of 113% and 68% for plasma and brain respectively. Benchtop stability, autosampler stability, and freeze/thaw stability studies of the method (over a 3-day freeze/thaw cycle) were found to be within the acceptance criteria of 20% RSD and bias. This optimized method was applied to the quantitation of DLM in plasma and brain homogenate samples obtained up to 12h after oral dosing of Sprague-Dawley rats with 1mg DLM/kg body weight.",0
5,"5.J. Zhu, J. Chin, C. Wangler, B. Wangler, R. B. Lennox and R. Schirrmacher. 2014. Rapid (18)F-Labeling and Loading of PEGylated Gold Nanoparticles for in Vivo Applications. Bioconjug Chem 25(6): 1143-50. http://www.ncbi.nlm.nih.gov/pubmed/24807200. Water-soluble 3 nm maleimide-terminated PEGylated gold nanoparticles (maleimide-AuNP) were synthesized in both partially hydrolyzed and nonhydrolyzed forms. Both of these maleimide-AuNPs, when reacted with the silicon-fluorine prosthetic group [(18)F]SiFA-SH, resulted in radiolabeled AuNPs. These NPs were readily purified with high radiochemical yields (RCY) of 60-80% via size exclusion chromatography. Preliminary small animal positron emission tomography (PET) measurements in healthy rats gives information about the pathway of excretion and the stability of the radioactive label in vivo. The partially hydrolyzed [(18)F]SiFA-maleimide-AuNPs shows uptake in the brain region of interest (ROI) (&gt; 0.13%ID/g) which was confirmed by ex vivo examination of the thoroughly perfused rat brain. The multiple maleimide end groups on the AuNP surface also allows for the simultaneous incorporation of [(18)F]SiFA-SH and a bioactive peptide (cysteine-modified octreotate, cys-TATE, which can bind to somatostatin receptor subtypes 2 and 5) in a proof-of-concept study. The well-defined Michael addition reaction between various thiol containing molecules and the multifunctionalized maleimide-AuNPs thus offers an opportunity to develop a new bioconjugation platform for new diagnostics as well as therapeutics.",Rapid (18)F-Labeling and Loading of PEGylated Gold Nanoparticles for in Vivo Applications,"Water-soluble 3 nm maleimide-terminated PEGylated gold nanoparticles (maleimide-AuNP) were synthesized in both partially hydrolyzed and nonhydrolyzed forms. Both of these maleimide-AuNPs, when reacted with the silicon-fluorine prosthetic group [(18)F]SiFA-SH, resulted in radiolabeled AuNPs. These NPs were readily purified with high radiochemical yields (RCY) of 60-80% via size exclusion chromatography. Preliminary small animal positron emission tomography (PET) measurements in healthy rats gives information about the pathway of excretion and the stability of the radioactive label in vivo. The partially hydrolyzed [(18)F]SiFA-maleimide-AuNPs shows uptake in the brain region of interest (ROI) (> 0.13%ID/g) which was confirmed by ex vivo examination of the thoroughly perfused rat brain. The multiple maleimide end groups on the AuNP surface also allows for the simultaneous incorporation of [(18)F]SiFA-SH and a bioactive peptide (cysteine-modified octreotate, cys-TATE, which can bind to somatostatin receptor subtypes 2 and 5) in a proof-of-concept study. The well-defined Michael addition reaction between various thiol containing molecules and the multifunctionalized maleimide-AuNPs thus offers an opportunity to develop a new bioconjugation platform for new diagnostics as well as therapeutics.",0
6,"6.V. K. Bharti, R. S. Srivastava, H. Kumar, S. Bag, A. C. Majumdar, G. Singh, S. R. Pandi-Perumal and G. M. Brown. 2014. Effects of melatonin and epiphyseal proteins on fluoride-induced adverse changes in antioxidant status of heart, liver, and kidney of rats. Adv Pharmacol Sci 2014(#issue#): 532969. http://www.ncbi.nlm.nih.gov/pubmed/24790596. Several experimental and clinical reports indicated the oxidative stress-mediated adverse changes in vital organs of human and animal in fluoride (F) toxicity. Therefore, the present study was undertaken to evaluate the therapeutic effect of buffalo (Bubalus bubalis) epiphyseal (pineal) proteins (BEP) and melatonin (MEL) against F-induced oxidative stress in heart, liver, and kidney of experimental adult female rats. To accomplish this experimental objective, twenty-four adult female Wistar rats (123-143 g body weights) were divided into four groups, namely, control, F, F + BEP, and F + MEL and were administered sodium fluoride (NaF, 150 ppm elemental F in drinking water), MEL (10 mg/kg BW, i.p.), and BEP (100 microg/kg BW, i.p.) for 28 days. There were significantly (P &lt; 0.05) high levels of lipid peroxidation and catalase and low levels of reduced glutathione, superoxide dismutase, glutathione reductase, and glutathione peroxidase in cardiac, hepatic, and renal tissues of F-treated rats. Administration of BEP and MEL in F-treated rats, however, significantly (P &lt; 0.05) attenuated these adverse changes in all the target components of antioxidant defense system of cardiac, hepatic, and renal tissues. The present data suggest that F can induce oxidative stress in liver, heart, and kidney of female rats which may be a mechanism in F toxicity and these adverse effects can be ameliorated by buffalo (Bubalus bubalis) epiphyseal proteins and melatonin by upregulation of antioxidant defense system of heart, liver, and kidney of rats.","Effects of melatonin and epiphyseal proteins on fluoride-induced adverse changes in antioxidant status of heart, liver, and kidney of rats","Several experimental and clinical reports indicated the oxidative stress-mediated adverse changes in vital organs of human and animal in fluoride (F) toxicity. Therefore, the present study was undertaken to evaluate the therapeutic effect of buffalo (Bubalus bubalis) epiphyseal (pineal) proteins (BEP) and melatonin (MEL) against F-induced oxidative stress in heart, liver, and kidney of experimental adult female rats. To accomplish this experimental objective, twenty-four adult female Wistar rats (123-143 g body weights) were divided into four groups, namely, control, F, F + BEP, and F + MEL and were administered sodium fluoride (NaF, 150 ppm elemental F in drinking water), MEL (10 mg/kg BW, i.p.), and BEP (100 microg/kg BW, i.p.) for 28 days. There were significantly (P < 0.05) high levels of lipid peroxidation and catalase and low levels of reduced glutathione, superoxide dismutase, glutathione reductase, and glutathione peroxidase in cardiac, hepatic, and renal tissues of F-treated rats. Administration of BEP and MEL in F-treated rats, however, significantly (P < 0.05) attenuated these adverse changes in all the target components of antioxidant defense system of cardiac, hepatic, and renal tissues. The present data suggest that F can induce oxidative stress in liver, heart, and kidney of female rats which may be a mechanism in F toxicity and these adverse effects can be ameliorated by buffalo (Bubalus bubalis) epiphyseal proteins and melatonin by upregulation of antioxidant defense system of heart, liver, and kidney of rats.",0
7,"7.S. Sun, J. Wallach and A. Adejare. 2014. Syntheses and N-methyl-D-aspartate Receptor Antagonist Pharmacology of Fluorinated Arylcycloheptylamines. Med Chem #volume#(#issue#): #Pages#. http://www.ncbi.nlm.nih.gov/pubmed/24773376. Selective uncompetitive antagonists of the phencyclidine (PCP) binding site of the N-methyl-D-aspartate receptor (NMDAR) are known to have therapeutic potential as anticonvulsants and neuroprotective agents. Several fluorinated molecules with each containing a cycloheptane ring were designed to probe the PCP pharmacophore and test the influence of fluorine substitution on NMDAR binding and in vivo efficacy. Syntheses and analyses of six novel compounds, 1-(4-fluorophenyl)cycloheptanamine (3), 1-(1-(4-fluorophenyl)cycloheptyl)piperidine (4), 1-(1-(4-fluorophenyl)cycloheptyl)pyrrolidine (5), 1-(3-fluorophenyl)cycloheptanamine (6), 1-(1-(3-fluorophenyl)cycloheptyl)piperidine (7), 1-(1-(3-fluorophenyl)cycloheptyl)pyrrolidine (8) and several related reference arylcyloalkylamines are described. Receptor binding was performed at the PCP site of NMDAR for each compound using [3H]-(+)-MK-801 displacement. Unexpectedly, the 3-fluoro- primary amine 6 had the greatest affinity of the series and these binding results support a different structure activity relationship (SAR) profile for arylcycloheptylamines when compared to arylcyclohexylamines like PCP. Five of the novel compounds have affinity (Ki) in the hundred nM (10-7) range. In addition, compounds 3, 5, 6, 7 and 8 were evaluated and found to exhibit neuroprotective effects from NMDA induced toxicity in vitro and compounds 6, 7 and 8 exhibited anticonvulsant activities in rats. An ED50 of 13.84 mg/kg was found for compound 6 in rat MES test with a protective index (PI) of 3.66 against ataxia. These results support further investigation of the arylcycloheptylamine class.",Syntheses and N-methyl-D-aspartate Receptor Antagonist Pharmacology of Fluorinated Arylcycloheptylamines,"Selective uncompetitive antagonists of the phencyclidine (PCP) binding site of the N-methyl-D-aspartate receptor (NMDAR) are known to have therapeutic potential as anticonvulsants and neuroprotective agents. Several fluorinated molecules with each containing a cycloheptane ring were designed to probe the PCP pharmacophore and test the influence of fluorine substitution on NMDAR binding and in vivo efficacy. Syntheses and analyses of six novel compounds, 1-(4-fluorophenyl)cycloheptanamine (3), 1-(1-(4-fluorophenyl)cycloheptyl)piperidine (4), 1-(1-(4-fluorophenyl)cycloheptyl)pyrrolidine (5), 1-(3-fluorophenyl)cycloheptanamine (6), 1-(1-(3-fluorophenyl)cycloheptyl)piperidine (7), 1-(1-(3-fluorophenyl)cycloheptyl)pyrrolidine (8) and several related reference arylcyloalkylamines are described. Receptor binding was performed at the PCP site of NMDAR for each compound using [3H]-(+)-MK-801 displacement. Unexpectedly, the 3-fluoro- primary amine 6 had the greatest affinity of the series and these binding results support a different structure activity relationship (SAR) profile for arylcycloheptylamines when compared to arylcyclohexylamines like PCP. Five of the novel compounds have affinity (Ki) in the hundred nM (10-7) range. In addition, compounds 3, 5, 6, 7 and 8 were evaluated and found to exhibit neuroprotective effects from NMDA induced toxicity in vitro and compounds 6, 7 and 8 exhibited anticonvulsant activities in rats. An ED50 of 13.84 mg/kg was found for compound 6 in rat MES test with a protective index (PI) of 3.66 against ataxia. These results support further investigation of the arylcycloheptylamine class.",0
8,"8.S. Jiang, J. Su, S. Yao, Y. Zhang, F. Cao, F. Wang, H. Wang, J. Li and S. Xi. 2014. Fluoride and arsenic exposure impairs learning and memory and decreases mGluR5 expression in the hippocampus and cortex in rats. PLoS One 9(4): e96041. http://www.ncbi.nlm.nih.gov/pubmed/24759735. Fluoride and arsenic are two common inorganic contaminants in drinking water that are associated with impairment in child development and retarded intelligence. The present study was conducted to explore the effects on spatial learning, memory, glutamate levels, and group I metabotropic glutamate receptors (mGluRs) expression in the hippocampus and cortex after subchronic exposure to fluoride, arsenic, and a fluoride and arsenic combination in rats. Weaned male Sprague-Dawley rats were assigned to four groups. The control rats drank tap water. Rats in the three exposure groups drank water with sodium fluoride (120 mg/L), sodium arsenite (70 mg/L), and a sodium fluoride (120 mg/L) and sodium arsenite (70 mg/L) combination for 3 months. Spatial learning and memory was measured in Morris water maze. mGluR1 and mGluR5 mRNA and protein expression in the hippocampus and cortex was detected using RT-PCR and Western blot, respectively. Compared with controls, learning and memory ability declined in rats that were exposed to fluoride and arsenic both alone and combined. Combined fluoride and arsenic exposure did not have a more pronounced effect on spatial learning and memory compared with arsenic and fluoride exposure alone. Compared with controls, glutamate levels decreased in the hippocampus and cortex of rats exposed to fluoride and combined fluoride and arsenic, and in cortex of arsenic-exposed rats. mGluR5 mRNA and protein expressions in the hippocampus and mGluR5 protein expression in the cortex decreased in rats exposed to arsenic alone. Interestingly, compared with fluoride and arsenic exposure alone, fluoride and arsenic combination decreased mGluR5 mRNA expression in the cortex and protein expression in the hippocampus, suggesting a synergistic effect of fluoride and arsenic. These data indicate that fluoride and arsenic, either alone or combined, can decrease learning and memory ability in rats. The mechanism may be associated with changes of glutamate level and mGluR5 expression in cortex and hippocampus.",Fluoride and arsenic exposure impairs learning and memory and decreases mGluR5 expression in the hippocampus and cortex in rats,"Fluoride and arsenic are two common inorganic contaminants in drinking water that are associated with impairment in child development and retarded intelligence. The present study was conducted to explore the effects on spatial learning, memory, glutamate levels, and group I metabotropic glutamate receptors (mGluRs) expression in the hippocampus and cortex after subchronic exposure to fluoride, arsenic, and a fluoride and arsenic combination in rats. Weaned male Sprague-Dawley rats were assigned to four groups. The control rats drank tap water. Rats in the three exposure groups drank water with sodium fluoride (120 mg/L), sodium arsenite (70 mg/L), and a sodium fluoride (120 mg/L) and sodium arsenite (70 mg/L) combination for 3 months. Spatial learning and memory was measured in Morris water maze. mGluR1 and mGluR5 mRNA and protein expression in the hippocampus and cortex was detected using RT-PCR and Western blot, respectively. Compared with controls, learning and memory ability declined in rats that were exposed to fluoride and arsenic both alone and combined. Combined fluoride and arsenic exposure did not have a more pronounced effect on spatial learning and memory compared with arsenic and fluoride exposure alone. Compared with controls, glutamate levels decreased in the hippocampus and cortex of rats exposed to fluoride and combined fluoride and arsenic, and in cortex of arsenic-exposed rats. mGluR5 mRNA and protein expressions in the hippocampus and mGluR5 protein expression in the cortex decreased in rats exposed to arsenic alone. Interestingly, compared with fluoride and arsenic exposure alone, fluoride and arsenic combination decreased mGluR5 mRNA expression in the cortex and protein expression in the hippocampus, suggesting a synergistic effect of fluoride and arsenic. These data indicate that fluoride and arsenic, either alone or combined, can decrease learning and memory ability in rats. The mechanism may be associated with changes of glutamate level and mGluR5 expression in cortex and hippocampus.",1
9,"9.A. F. McKoy, J. Chen, T. Schupbach and M. H. Hecht. 2014. Structure-Activity Relationships for a Series of Compounds that Inhibit Aggregation of the Alzheimer's Peptide, Abeta42. Chem Biol Drug Des #volume#(#issue#): #Pages#. http://www.ncbi.nlm.nih.gov/pubmed/24751138. Inhibiting aggregation of the amyloid-beta (Abeta) peptide may be an effective strategy for combating Alzheimer's disease. As the high-resolution structure of the toxic Abeta aggregate is unknown, rational design of small molecule inhibitors is not possible, and inhibitors are best isolated by high-throughput screening. We applied high-throughput screening to a collection of 65 000 compounds to identify compound D737 as an inhibitor of Abeta aggregation. D737 diminished the formation of oligomers and fibrils, and reduced Abeta42-induced cytotoxicity. Most importantly, D737 increased the life span and locomotive ability of transgenic flies in a Drosophila melanogaster model of Alzheimer's disease (J Biol Chem, 287, 2012, 38992). To explore the chemical features that make D737 an effective inhibitor of Abeta42 aggregation and toxicity, we tested a small collection of eleven analogues of D737. Overall, the ability of a compound to inhibit Abeta aggregation was a good predictor of its efficacy in prolonging the life span and locomotive ability of transgenic flies expressing human Abeta42 in the central nervous system. Two compounds (D744 and D830) with fluorine substitutions on an aromatic ring were effective inhibitors of Abeta42 aggregation and increased the longevity of transgenic flies beyond that observed for the parent compound, D737.","Structure-Activity Relationships for a Series of Compounds that Inhibit Aggregation of the Alzheimer's Peptide, Abeta42","Inhibiting aggregation of the amyloid-beta (Abeta) peptide may be an effective strategy for combating Alzheimer's disease. As the high-resolution structure of the toxic Abeta aggregate is unknown, rational design of small molecule inhibitors is not possible, and inhibitors are best isolated by high-throughput screening. We applied high-throughput screening to a collection of 65 000 compounds to identify compound D737 as an inhibitor of Abeta aggregation. D737 diminished the formation of oligomers and fibrils, and reduced Abeta42-induced cytotoxicity. Most importantly, D737 increased the life span and locomotive ability of transgenic flies in a Drosophila melanogaster model of Alzheimer's disease (J Biol Chem, 287, 2012, 38992). To explore the chemical features that make D737 an effective inhibitor of Abeta42 aggregation and toxicity, we tested a small collection of eleven analogues of D737. Overall, the ability of a compound to inhibit Abeta aggregation was a good predictor of its efficacy in prolonging the life span and locomotive ability of transgenic flies expressing human Abeta42 in the central nervous system. Two compounds (D744 and D830) with fluorine substitutions on an aromatic ring were effective inhibitors of Abeta42 aggregation and increased the longevity of transgenic flies beyond that observed for the parent compound, D737.",0
10,"10.E. Kalisinska, I. Bosiacka-Baranowska, N. Lanocha, D. Kosik-Bogacka, K. Krolaczyk, A. Wilk, K. Kavetska, H. Budis, I. Gutowska and D. Chlubek. 2014. Fluoride concentrations in the pineal gland, brain and bone of goosander (Mergus merganser) and its prey in Odra River estuary in Poland. Environ Geochem Health #volume#(#issue#): #Pages#. http://www.ncbi.nlm.nih.gov/pubmed/24744187. The aim of the study was to investigate fluoride concentrations in bone, brain and pineal gland of goosander Mergus merganser wintering in the Odra estuary (Poland) as well as in fish originating from its digestive tract. The fluoride concentrations were determined with potentiometric method. Medians of concentrations in goosander had the highest and the lowest values in pineal gland and brain (&gt;760 and &lt;190 mg/kg, respectively). Fluoride concentration in the pineal gland was significantly greater than in the bone and the brain of the duck. In fish, the fluoride concentration ranged from 37 to 640 mg/kg and significant correlation was revealed between the fluoride concentration and fish weight and length. Based on own results and data of other authors, a daily fluoride intake by the goosander in the Odra estuary was estimated at 15 mg. So high fluoride concentrations like in the duck have not been found in mammal brains.","Fluoride concentrations in the pineal gland, brain and bone of goosander (Mergus merganser) and its prey in Odra River estuary in Poland","The aim of the study was to investigate fluoride concentrations in bone, brain and pineal gland of goosander Mergus merganser wintering in the Odra estuary (Poland) as well as in fish originating from its digestive tract. The fluoride concentrations were determined with potentiometric method. Medians of concentrations in goosander had the highest and the lowest values in pineal gland and brain (>760 and <190 mg/kg, respectively). Fluoride concentration in the pineal gland was significantly greater than in the bone and the brain of the duck. In fish, the fluoride concentration ranged from 37 to 640 mg/kg and significant correlation was revealed between the fluoride concentration and fish weight and length. Based on own results and data of other authors, a daily fluoride intake by the goosander in the Odra estuary was estimated at 15 mg. So high fluoride concentrations like in the duck have not been found in mammal brains.",0
