Run,Last Include,WSS@50r,WSS@75r,WSS@90r,WSS@95r,nWSS@50r,nWSS@75r,nWSS@90r,nWSS@95r,precision@50%,precision@75%,precision@90%,precision@95%,recall@50%,recall@75%,recall@90%,recall@95%
1,65.48928778,0.43746381,0.657932831,0.783034163,0.773393167,0.977272727,0.96780303,0.953914141,0.893308081,0.163383546,0.11042471,0.092020592,0.087195122,0.986013986,1,1,1
2,60.45165026,0.43746381,0.656195715,0.781876086,0.735176607,0.977272727,0.965909091,0.952651515,0.851641414,0.164542294,0.11042471,0.092020592,0.087195122,0.993006993,1,1,1
3,75.56456283,0.439779965,0.659090909,0.782455124,0.78149971,0.97979798,0.969065657,0.953282828,0.902146465,0.162224797,0.10965251,0.092020592,0.087195122,0.979020979,0.993006993,1,1
4,64.96815287,0.43746381,0.660248987,0.781297047,0.778025478,0.977272727,0.970328283,0.952020202,0.898358586,0.162224797,0.11042471,0.092020592,0.087195122,0.979020979,1,1,1
5,53.73480023,0.440359004,0.657932831,0.783034163,0.740966995,0.980429293,0.96780303,0.953914141,0.857954545,0.164542294,0.11042471,0.092020592,0.087195122,0.993006993,1,1,1
6,53.03995368,0.439779965,0.65851187,0.784192241,0.773972206,0.97979798,0.968434343,0.955176768,0.893939394,0.164542294,0.11042471,0.092020592,0.087195122,0.993006993,1,1,1
7,69.94788651,0.436305732,0.656774754,0.782455124,0.734597568,0.976010101,0.966540404,0.953282828,0.851010101,0.164542294,0.11042471,0.092020592,0.087195122,0.993006993,1,1,1
8,61.32020845,0.436305732,0.657353793,0.781297047,0.785552982,0.976010101,0.967171717,0.952020202,0.906565657,0.163383546,0.11042471,0.092020592,0.087195122,0.986013986,1,1,1
9,50.26056746,0.435147655,0.654458599,0.783613202,0.728228141,0.974747475,0.964015152,0.954545455,0.844065657,0.164542294,0.11042471,0.092020592,0.087195122,0.993006993,1,1,1
10,66.06832658,0.436884771,0.657353793,0.783613202,0.749652577,0.976641414,0.967171717,0.954545455,0.867424242,0.163383546,0.11042471,0.092020592,0.087195122,0.986013986,1,1,1
11,69.65836711,0.438042849,0.659669948,0.782455124,0.775130284,0.97790404,0.96969697,0.953282828,0.89520202,0.163383546,0.11042471,0.092020592,0.087195122,0.986013986,1,1,1
12,68.32657788,0.43746381,0.660248987,0.785929357,0.789027215,0.977272727,0.970328283,0.957070707,0.910353535,0.162224797,0.11042471,0.092020592,0.087195122,0.979020979,1,1,1
13,71.56919514,0.438042849,0.656195715,0.781876086,0.755442965,0.97790404,0.965909091,0.952651515,0.873737374,0.162224797,0.11042471,0.092020592,0.087195122,0.979020979,1,1,1
14,69.02142444,0.436884771,0.654458599,0.779559931,0.79134337,0.976641414,0.964015152,0.950126263,0.912878788,0.162224797,0.11042471,0.092020592,0.087195122,0.979020979,1,1,1
15,59.46728431,0.439200926,0.656195715,0.78477128,0.750810654,0.979166667,0.965909091,0.955808081,0.868686869,0.163383546,0.11042471,0.092020592,0.087195122,0.986013986,1,1,1
,,,,,,,,,,,,,,,,,
Average,63.92588303,0.437772631,0.657508203,0.782763945,0.762854661,0.977609428,0.967340067,0.953619529,0.881818182,0.163383546,0.11037323,0.092020592,0.087195122,0.986013986,0.9995338,1,1
STD,7.138149534,0.001416247,0.001787429,0.001507973,0.02096323,0.001544102,0.001948794,0.00164411,0.022855744,0.000946114,0.000192621,2.77556E-17,1.38778E-17,0.005709766,0.001744362,0,0
