Last Include,WSS@50r,WSS@75r,WSS@90r,WSS@95r,nWSS@50r,nWSS@75r,nWSS@90r,nWSS@95r,precision@50%,precision@75%,precision@90%,precision@95%,recall@50%,recall@75%,recall@90%,recall@95%
68.62,0.37,0.55,0.57,0.50,0.93,0.88,0.76,0.63,0.26,0.18,0.15,0.14,0.96,1.00,1.00,1.00
71.79,0.38,0.55,0.61,0.49,0.94,0.88,0.80,0.62,0.26,0.18,0.15,0.14,0.96,1.00,1.00,1.00
71.55,0.37,0.55,0.57,0.52,0.93,0.88,0.76,0.65,0.26,0.18,0.15,0.14,0.96,1.00,1.00,1.00
69.81,0.37,0.55,0.60,0.51,0.93,0.88,0.79,0.63,0.26,0.18,0.15,0.14,0.96,1.00,1.00,1.00
65.29,0.36,0.55,0.57,0.43,0.91,0.88,0.76,0.54,0.25,0.18,0.15,0.14,0.95,1.00,1.00,1.00
69.33,0.36,0.54,0.60,0.55,0.92,0.88,0.79,0.68,0.26,0.18,0.15,0.14,0.96,1.00,1.00,1.00
71.63,0.37,0.55,0.58,0.55,0.93,0.88,0.77,0.69,0.26,0.18,0.15,0.14,0.98,1.00,1.00,1.00
67.27,0.38,0.55,0.62,0.47,0.94,0.88,0.82,0.60,0.26,0.18,0.15,0.14,0.96,1.00,1.00,1.00
69.81,0.36,0.56,0.62,0.55,0.92,0.89,0.82,0.69,0.26,0.18,0.15,0.14,0.96,1.00,1.00,1.00
68.62,0.38,0.55,0.59,0.53,0.93,0.88,0.78,0.66,0.26,0.18,0.15,0.14,0.96,1.00,1.00,1.00
78.53,0.37,0.55,0.61,0.51,0.93,0.88,0.81,0.64,0.26,0.18,0.15,0.14,0.96,0.99,1.00,1.00
72.11,0.37,0.55,0.55,0.51,0.92,0.88,0.73,0.64,0.26,0.18,0.15,0.14,0.96,1.00,1.00,1.00
71.55,0.36,0.55,0.61,0.49,0.92,0.88,0.80,0.62,0.26,0.18,0.15,0.14,0.96,1.00,1.00,1.00
74.33,0.37,0.55,0.57,0.55,0.93,0.88,0.76,0.68,0.26,0.18,0.15,0.14,0.96,1.00,1.00,1.00
71.63,0.36,0.55,0.58,0.40,0.92,0.88,0.77,0.52,0.25,0.18,0.15,0.14,0.95,1.00,1.00,1.00
,,,,,,,,,,,,,,,,
70.79,0.37,0.55,0.59,0.50,0.93,0.88,0.78,0.63,0.26,0.18,0.15,0.14,0.96,1.00,1.00,1.00
2.99,0.01,0.00,0.02,0.04,0.01,0.00,0.02,0.05,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
