Screened References,Results_0,Results_1,Results_2,Results_3,Results_4,Results_5,Results_6,Results_7,Results_8,Results_9,Results_10,Results_11,Results_12,Results_13,Results_14
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,9,9,7,9,9,8,8,9,8,7,8,9,8,9,7
30,11,9,10,10,9,8,8,10,8,8,8,9,8,10,8
40,11,9,10,10,9,8,8,10,8,8,8,9,8,11,8
50,11,9,10,10,9,8,9,10,8,8,8,9,9,11,8
60,11,9,10,10,10,9,9,10,8,8,8,9,9,11,8
70,12,10,11,12,10,9,9,10,8,8,10,9,9,11,8
80,12,10,11,12,10,10,9,11,8,8,11,10,9,11,8
90,12,11,11,12,10,10,9,11,9,9,11,11,9,11,10
100,12,12,11,12,10,10,9,11,9,9,12,12,9,11,10
110,12,12,11,12,10,10,10,11,9,9,12,12,9,11,10
120,12,12,11,12,10,12,10,11,9,9,12,12,9,11,11
130,12,12,11,12,12,12,10,11,9,9,12,12,9,12,11
140,12,12,11,12,12,12,11,11,10,10,12,12,10,12,11
150,12,12,11,12,12,12,11,11,10,10,12,12,11,12,11
160,12,12,11,12,12,12,11,11,10,11,12,12,11,12,11
170,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
180,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
190,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
200,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
210,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
220,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
230,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
240,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
250,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
260,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
270,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
280,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
290,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
300,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
310,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
320,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
330,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
340,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
350,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
360,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
370,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
380,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
390,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
400,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
410,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
420,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
430,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
440,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
450,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
460,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
470,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
480,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
490,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
500,12,12,11,12,12,12,11,11,11,11,12,12,11,12,11
510,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
520,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
530,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
540,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
550,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
560,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
570,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
580,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
590,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
600,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
