Screened References,Results_0,Results_1,Results_2,Results_3,Results_4,Results_5,Results_6,Results_7,Results_8,Results_9,Results_10,Results_11,Results_12,Results_13,Results_14
10,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
20,11,3,1,4,9,10,10,1,10,9,1,3,9,11,10
30,20,4,1,7,14,17,19,2,18,19,1,10,12,19,19
40,25,5,1,14,21,23,25,3,26,25,2,19,17,27,26
50,27,7,2,22,28,27,31,4,31,28,4,27,21,27,27
60,33,9,4,32,32,32,35,11,35,35,6,33,30,33,32
70,37,10,4,38,33,34,35,18,37,39,14,39,33,36,35
80,37,10,4,43,35,38,37,28,39,41,24,40,37,38,38
90,40,10,5,47,35,40,40,33,40,43,30,41,40,38,41
100,43,11,5,47,35,41,42,38,40,45,35,42,43,40,42
110,47,13,7,49,40,45,47,42,44,48,39,46,47,44,47
120,47,14,8,50,42,46,47,44,44,50,41,48,48,45,47
130,47,18,11,51,45,47,49,44,44,50,42,48,50,45,47
140,49,24,19,52,46,48,49,46,44,51,45,48,51,47,48
150,49,25,28,53,47,48,49,48,44,51,46,48,51,48,48
160,52,32,36,55,51,51,51,51,49,53,49,51,53,50,50
170,53,35,40,55,53,51,53,53,51,54,49,52,54,50,51
180,55,41,43,57,53,51,53,54,51,54,49,53,56,50,51
190,55,42,45,59,53,51,54,54,51,54,49,54,56,50,51
200,56,46,46,59,53,53,54,55,52,56,49,55,56,51,52
210,58,52,50,60,54,54,56,57,53,57,51,56,57,54,54
220,58,54,50,60,55,55,57,58,54,57,54,57,57,55,54
230,58,58,50,60,56,55,57,58,56,57,54,57,57,58,56
240,59,58,51,61,56,56,59,59,56,57,54,57,59,58,57
250,59,59,51,61,57,57,59,60,56,58,55,58,59,58,57
260,60,62,54,64,60,62,61,62,58,60,59,60,60,59,58
270,61,62,54,64,61,63,61,62,58,60,59,60,60,61,59
280,61,62,56,65,63,64,61,62,60,60,59,60,60,61,59
290,61,62,56,65,63,64,61,63,61,62,60,60,60,61,59
300,62,63,57,65,64,64,63,63,61,62,61,61,60,65,60
310,64,63,62,67,67,66,64,64,62,65,63,63,64,69,65
320,65,63,62,67,68,66,64,66,62,66,63,63,64,69,65
330,65,63,62,68,68,68,66,66,62,66,63,63,64,69,66
340,66,64,63,69,68,69,66,66,62,66,64,64,65,69,66
350,66,64,64,69,68,69,69,69,64,66,64,65,68,71,67
360,66,66,65,70,72,70,71,70,68,66,66,67,71,76,69
370,66,66,66,70,72,70,72,71,68,67,66,68,71,76,69
380,66,66,67,71,73,70,72,72,68,68,66,68,71,77,70
390,67,66,67,71,73,71,72,72,68,68,66,68,71,77,71
400,67,66,67,71,74,71,72,72,68,68,66,68,73,77,73
410,71,72,71,75,78,73,75,75,72,70,68,71,75,79,74
420,74,72,71,75,78,74,75,75,73,70,68,71,76,80,75
430,74,72,71,75,78,74,75,76,73,70,69,72,76,81,75
440,74,73,72,76,78,75,76,76,74,70,69,73,76,82,76
450,74,74,72,76,78,75,76,76,74,71,69,75,76,82,76
460,78,79,74,77,78,78,80,77,79,74,72,79,77,85,77
470,78,80,77,77,81,78,81,77,80,75,73,79,77,85,78
480,78,80,78,78,81,80,82,78,81,76,74,80,78,86,81
490,79,80,78,79,82,80,83,78,82,77,78,80,79,86,81
500,82,81,78,82,82,81,83,79,82,78,78,80,80,86,82
510,85,83,81,84,83,82,85,83,85,83,83,82,81,87,83
520,87,83,81,84,83,83,86,84,85,83,84,82,81,87,83
530,88,84,82,86,84,84,86,85,85,83,85,82,83,88,83
540,88,85,82,86,85,85,87,85,85,83,85,83,83,88,83
550,88,85,83,87,87,85,88,85,85,85,85,83,84,88,83
560,88,86,85,87,89,85,88,85,85,86,85,86,87,88,84
570,89,87,85,87,89,85,89,86,85,86,86,86,87,88,84
580,90,88,85,87,89,85,89,87,85,86,86,86,87,88,84
590,90,88,86,88,89,86,89,87,87,86,86,88,88,89,86
600,90,88,88,89,89,86,90,87,88,86,87,88,88,89,86
610,90,88,88,89,89,87,91,88,88,87,89,89,88,89,88
620,90,89,88,89,89,87,91,88,88,87,89,89,89,89,88
630,90,89,88,89,89,87,92,89,89,87,89,89,90,91,91
640,90,89,88,89,89,87,93,91,89,88,89,89,91,91,91
650,91,90,88,89,89,87,93,91,89,88,90,90,91,91,91
660,92,92,88,90,89,88,93,91,90,89,90,90,91,91,92
670,93,93,88,90,90,88,93,91,90,90,90,90,91,91,92
680,93,93,88,90,91,90,93,91,92,90,90,90,91,92,92
690,93,93,88,90,92,90,93,91,92,91,91,90,92,92,93
700,93,93,88,90,93,92,93,91,92,92,91,90,92,93,93
710,94,93,89,90,94,93,93,92,92,92,93,92,92,93,93
720,94,93,91,91,94,93,93,92,92,92,94,92,92,93,93
730,94,93,92,91,94,93,93,93,92,92,94,93,92,93,93
740,94,93,92,92,94,93,94,93,92,92,94,93,93,93,93
750,94,93,93,93,94,94,94,93,92,94,94,93,93,93,93
760,94,93,93,93,94,94,94,93,93,94,94,94,93,93,93
770,94,93,93,94,94,94,95,93,93,94,95,94,94,93,93
780,94,93,93,94,94,94,95,93,93,94,95,94,94,93,93
790,94,93,93,94,94,94,95,93,93,94,95,94,94,93,93
800,94,93,93,94,94,94,95,93,93,94,95,94,94,93,93
810,94,94,93,94,94,94,95,93,93,94,95,94,94,93,94
820,94,94,93,94,95,94,95,93,94,94,95,94,94,93,94
830,94,94,93,94,95,94,95,94,94,94,95,94,94,93,94
840,94,94,93,95,95,94,95,94,94,95,95,95,94,94,94
850,94,94,93,95,95,94,95,94,94,95,95,95,94,94,94
860,94,94,93,95,95,94,95,94,94,95,95,95,94,94,94
870,94,94,93,95,95,94,95,94,94,95,95,95,94,94,94
880,94,94,93,95,95,94,95,94,94,95,95,95,94,94,94
890,94,94,93,95,95,95,95,94,94,95,95,95,94,94,94
900,94,94,93,95,95,95,95,94,94,95,95,95,95,94,94
910,94,94,93,95,95,95,95,94,94,95,95,95,95,94,94
920,94,94,93,95,95,95,95,94,94,95,95,95,95,94,94
930,94,94,94,95,95,95,95,95,94,95,95,95,95,94,94
940,94,94,94,95,95,95,95,95,95,95,95,95,95,94,94
950,95,94,94,95,95,95,95,95,95,95,95,95,95,94,95
960,95,94,94,95,95,95,95,95,95,95,95,95,95,94,95
970,95,94,94,95,95,95,95,95,95,95,95,95,95,94,95
980,95,94,94,95,95,95,95,95,95,95,95,95,95,94,95
990,95,94,94,95,95,95,95,95,95,95,95,95,95,95,95
1000,95,94,94,95,95,95,95,95,95,95,95,95,95,95,95
1010,95,94,94,95,95,95,95,95,95,95,95,95,95,95,95
1020,95,95,94,95,95,95,95,95,95,95,95,95,95,95,95
1030,95,95,94,95,95,95,95,95,95,95,95,95,95,95,95
1040,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1050,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1060,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1070,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1080,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1090,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1100,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1110,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1120,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1130,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1140,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1150,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1160,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1170,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1180,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1190,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1200,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1210,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1220,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1230,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1240,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1250,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1260,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1270,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1280,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1290,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1300,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1310,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1320,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1330,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1340,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1350,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1360,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1370,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1380,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1390,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1400,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1410,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1420,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1430,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1440,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1450,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1460,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1470,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1480,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1490,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1500,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1510,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1520,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1530,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1540,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1550,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1560,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1570,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1580,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1590,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1600,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1610,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1620,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1630,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1640,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1650,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1660,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1670,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1680,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1690,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1700,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1710,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1720,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1730,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1740,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1750,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1760,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1770,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1780,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1790,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1800,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1810,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1820,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1830,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
1840,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
